trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.87758256189037276}",25,0,-240.0924789650893,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.54030230586813977}",25,12,-1.524855807347413,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.070737201667702906}",20,4,-95.31893832585216,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': -0.41614683654714241}",25,0,-46.39161754626322,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': -0.8011436155469337}",20,14,11.794494647258304,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': -0.98999249660044542}",20,13,2.050886117344386,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': -0.93645668729079634}",30,10,-59.96117530519288,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': -0.65364362086361194}",25,18,-28.475621068280354,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': -0.2107957994307797}",30,13,-0.36427454829842,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,0,-2.2755658399806946,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.70866977429125999}",20,0,-27.560630257145327,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.96017028665036597}",20,0,-110.74322226217949,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.97658762572802349}",20,0,-67.79006535110973,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-105.59676282218402,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.34663531783502582}",25,3,9.203160770558528,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': -0.14550003380861354}",25,7,6.993865036161076,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': -0.60201190268482363}",25,18,9.956875013745595,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': -0.91113026188467694}",20,13,14.387537306870588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -0.99717215619637845}",30,21,16.431546624628137,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.83907152907645244}",20,0,16.297793040742445,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-48.64556062738628,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,25.550393465884543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,5,-26.72207867878185,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-4.450365523292607,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,15,7.51676011929451,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,17.246307117432863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,4,-46.82701397565952,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,14,-0.21535374388681694,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,21,-28.004638127951058,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,11,-24.396350492173685,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
